code,language
deu_Latn,German
ltz_Latn,Luxembourgish
eng_Latn,English
tpi_Latn,Tok_Pisin
nld_Latn,Dutch
lim_Latn,Limburgish
ita_Latn,Italian
scn_Latn,Sicilian
spa_Latn,Spanish
ast_Latn,Asturian
fra_Latn,French
hat_Latn,Haitian_Creole
